NAME,count
"Block Group 1, Census Tract 4009, Baltimore County, Maryland",19
"Block Group 1, Census Tract 4010, Baltimore County, Maryland",18
"Block Group 1, Census Tract 4011.01, Baltimore County, Maryland",9
"Block Group 1, Census Tract 4012, Baltimore County, Maryland",15
"Block Group 1, Census Tract 4013.01, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4013.02, Baltimore County, Maryland",15
"Block Group 1, Census Tract 4014, Baltimore County, Maryland",46
"Block Group 1, Census Tract 4015.03, Baltimore County, Maryland",14
"Block Group 1, Census Tract 4015.04, Baltimore County, Maryland",12
"Block Group 1, Census Tract 4015.05, Baltimore County, Maryland",7
"Block Group 1, Census Tract 4015.06, Baltimore County, Maryland",3
"Block Group 1, Census Tract 402, Baltimore city, Maryland",2
"Block Group 1, Census Tract 4022.01, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4022.02, Baltimore County, Maryland",41
"Block Group 1, Census Tract 4023.02, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4023.04, Baltimore County, Maryland",8
"Block Group 1, Census Tract 4023.06, Baltimore County, Maryland",23
"Block Group 1, Census Tract 4024.03, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4024.05, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4025.03, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4025.04, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4025.06, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4025.10, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4025.11, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4026.02, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4026.03, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4026.04, Baltimore County, Maryland",13
"Block Group 1, Census Tract 4031, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4032.01, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4032.02, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4033, Baltimore County, Maryland",22
"Block Group 1, Census Tract 4034.01, Baltimore County, Maryland",16
"Block Group 1, Census Tract 4034.02, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4035, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4036.01, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4036.02, Baltimore County, Maryland",14
"Block Group 1, Census Tract 4037.02, Baltimore County, Maryland",9
"Block Group 1, Census Tract 4037.04, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4038.01, Baltimore County, Maryland",19
"Block Group 1, Census Tract 4038.02, Baltimore County, Maryland",11
"Block Group 1, Census Tract 4038.03, Baltimore County, Maryland",14
"Block Group 1, Census Tract 4041.01, Baltimore County, Maryland",25
"Block Group 1, Census Tract 4041.02, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4042.02, Baltimore County, Maryland",10
"Block Group 1, Census Tract 4044.02, Baltimore County, Maryland",52
"Block Group 1, Census Tract 4044.04, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4045.01, Baltimore County, Maryland",37
"Block Group 1, Census Tract 4046, Baltimore County, Maryland",47
"Block Group 1, Census Tract 4048, Baltimore County, Maryland",21
"Block Group 1, Census Tract 4049, Baltimore County, Maryland",16
"Block Group 1, Census Tract 4050, Baltimore County, Maryland",28
"Block Group 1, Census Tract 4060, Baltimore County, Maryland",27
"Block Group 1, Census Tract 4070.01, Baltimore County, Maryland",14
"Block Group 1, Census Tract 4070.02, Baltimore County, Maryland",21
"Block Group 1, Census Tract 4081, Baltimore County, Maryland",32
"Block Group 1, Census Tract 4082, Baltimore County, Maryland",22
"Block Group 1, Census Tract 4083.02, Baltimore County, Maryland",21
"Block Group 1, Census Tract 4083.03, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4083.04, Baltimore County, Maryland",10
"Block Group 1, Census Tract 4085.02, Baltimore County, Maryland",6
"Block Group 1, Census Tract 4085.03, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4085.05, Baltimore County, Maryland",15
"Block Group 1, Census Tract 4085.07, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4086.01, Baltimore County, Maryland",12
"Block Group 1, Census Tract 4086.02, Baltimore County, Maryland",17
"Block Group 1, Census Tract 4087.02, Baltimore County, Maryland",17
"Block Group 1, Census Tract 4087.03, Baltimore County, Maryland",11
"Block Group 1, Census Tract 4087.04, Baltimore County, Maryland",17
"Block Group 1, Census Tract 4088, Baltimore County, Maryland",25
"Block Group 1, Census Tract 4089, Baltimore County, Maryland",16
"Block Group 1, Census Tract 4101, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4102, Baltimore County, Maryland",6
"Block Group 1, Census Tract 4111.01, Baltimore County, Maryland",40
"Block Group 1, Census Tract 4112.01, Baltimore County, Maryland",7
"Block Group 1, Census Tract 4112.02, Baltimore County, Maryland",24
"Block Group 1, Census Tract 4113.02, Baltimore County, Maryland",12
"Block Group 1, Census Tract 4113.07, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4113.08, Baltimore County, Maryland",6
"Block Group 1, Census Tract 4114.04, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4114.06, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4114.08, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4114.10, Baltimore County, Maryland",16
"Block Group 1, Census Tract 4114.11, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4114.12, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4202, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4204.02, Baltimore County, Maryland",8
"Block Group 1, Census Tract 4205, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4206, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4207.02, Baltimore County, Maryland",12
"Block Group 1, Census Tract 4208, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4212, Baltimore County, Maryland",6
"Block Group 1, Census Tract 4302, Baltimore County, Maryland",14
"Block Group 1, Census Tract 4303, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4306, Baltimore County, Maryland",17
"Block Group 1, Census Tract 4307, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4308, Baltimore County, Maryland",7
"Block Group 1, Census Tract 4309, Baltimore County, Maryland",9
"Block Group 1, Census Tract 4401, Baltimore County, Maryland",9
"Block Group 1, Census Tract 4402, Baltimore County, Maryland",7
"Block Group 1, Census Tract 4404, Baltimore County, Maryland",9
"Block Group 1, Census Tract 4405, Baltimore County, Maryland",20
"Block Group 1, Census Tract 4406, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4407.01, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4407.02, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4410, Baltimore County, Maryland",10
"Block Group 1, Census Tract 4411.02, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4501, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4502, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4503, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4510, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4512, Baltimore County, Maryland",20
"Block Group 1, Census Tract 4513, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4515, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4516, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4517.01, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4517.02, Baltimore County, Maryland",6
"Block Group 1, Census Tract 4518.02, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4520, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4521, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4524, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4525, Baltimore County, Maryland",13
"Block Group 1, Census Tract 4901, Baltimore County, Maryland",65
"Block Group 1, Census Tract 4902, Baltimore County, Maryland",25
"Block Group 1, Census Tract 4903.03, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4903.04, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4904, Baltimore County, Maryland",19
"Block Group 1, Census Tract 4905, Baltimore County, Maryland",27
"Block Group 1, Census Tract 4906.01, Baltimore County, Maryland",13
"Block Group 1, Census Tract 4906.02, Baltimore County, Maryland",10
"Block Group 1, Census Tract 4906.03, Baltimore County, Maryland",28
"Block Group 1, Census Tract 4906.05, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4907.01, Baltimore County, Maryland",56
"Block Group 1, Census Tract 4907.03, Baltimore County, Maryland",25
"Block Group 1, Census Tract 4908, Baltimore County, Maryland",47
"Block Group 1, Census Tract 4909, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4910, Baltimore County, Maryland",28
"Block Group 1, Census Tract 4911, Baltimore County, Maryland",32
"Block Group 1, Census Tract 4912.01, Baltimore County, Maryland",29
"Block Group 1, Census Tract 4912.02, Baltimore County, Maryland",8
"Block Group 1, Census Tract 4913, Baltimore County, Maryland",76
"Block Group 1, Census Tract 4914.02, Baltimore County, Maryland",5
"Block Group 1, Census Tract 4915, Baltimore County, Maryland",4
"Block Group 1, Census Tract 4916, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4917.01, Baltimore County, Maryland",9
